Gene	pDN	pGOF	pLOF
ADAM15	0.667918376227392	0.684863764504809	0.295844081133201
ADAM17	0.426715300860086	0.518983552321447	0.57781561950306
ADAM18	0.660241663780546	0.600481958804881	0.308663971098727
ADAM19	0.704233860618736	0.636249023099085	0.309507202687843
ADAM2	0.645561274181198	0.595680551167587	0.294171994883191
ADAM20	0.667405889752528	0.642372620079825	0.263276795428746
ADAM21	0.616680423170016	0.673869420049993	0.282342302404344
ADAM22	0.613018552088679	0.611148757185396	0.407718780266467
ADAM23	0.406272270261056	0.440844831365806	0.623664921591438
ADAM28	0.695368037868286	0.651092145929696	0.273463514370683
ADAM29	0.679425198675265	0.780244129633884	0.277990788086858
ADAM30	0.69361393727402	0.689819380326511	0.279062529233336
ADAM32	0.711088050410774	0.688480287501681	0.224315222526664
ADAM33	0.703265784513204	0.735994326907672	0.273039034138104
ADAM5	0.516842007085339	0.363746657514343	0.461744774797172
ADAM7	0.662290251859445	0.657408839088798	0.256307526922258
ADAM8	0.734324140894219	0.688609392955943	0.26036640569967
ADAM9	0.720532288446603	0.663463572110246	0.262921385563941
ADAMDEC1	0.666693152877419	0.597798548199738	0.2890291673348
ADAMTS1	0.487821998518008	0.503555396969454	0.497227216908391
ADAMTS10	0.498259492862633	0.549756533368377	0.535907759433016
ADAMTS12	0.692278808099637	0.603833995075026	0.311985803717369
ADAMTS13	0.671045639545392	0.712352008794078	0.262094167634195
ADAMTS14	0.669936558170034	0.623243129255702	0.313263949240422
ADAMTS15	0.705081112965139	0.608058891247222	0.301673114206788
ADAMTS16	0.719030269371532	0.575919864618345	0.304523056583697
ADAMTS17	0.703172236900559	0.624673205785637	0.305532649801226
ADAMTS18	0.616234026150902	0.51872795280347	0.418776911245515
ADAMTS19	0.640848773609704	0.593900890320707	0.359711412123373
ADAMTS2	0.464078521841016	0.52047999972496	0.571710448481329
ADAMTS20	0.714915595978169	0.552228865150293	0.288698750127653
ADAMTS3	0.640103431097997	0.559105839178065	0.332896665059295
ADAMTS4	0.694193279827384	0.673380118226596	0.279006151657125
ADAMTS5	0.666100682885323	0.549088520753043	0.353541783074729
ADAMTS6	0.420996746252475	0.43732262807378	0.602099971428627
ADAMTS7	0.65497592421949	0.699273181843118	0.296450674035808
ADAMTS8	0.655908930023055	0.64563911424116	0.286524766345056
ADAMTS9	0.681144359238771	0.534665267623211	0.345667552099095
ADAMTSL1	0.67072133034662	0.575972048839041	0.357745361446443
ADAMTSL2	0.690991254618434	0.591851308050343	0.336184920072526
ADAMTSL3	0.710032285722462	0.608607551364031	0.315282599247003
ADAMTSL4	0.573594648902282	0.527718731548533	0.471742485371013
ADAMTSL4-AS1	0.656982161119276	0.636118351094035	0.304259467975826
ADAMTSL5	0.624089213533121	0.611341171312565	0.359498402618462
ADAP1	0.552754833926169	0.597201930517339	0.447412377508316
ADAP2	0.683708452923257	0.681977906317646	0.287880127195055
ADAR	0.572888383815073	0.476121451877338	0.463649424387912
ADARB1	0.430688834217476	0.311475907698871	0.706392650139885
ADARB2	0.453156204686717	0.392885747646232	0.674292614195338
ADARB2-AS1	0.682725079874844	0.630841902807971	0.609648283430744
ADAT1	0.431194012738431	0.245823920756711	0.51112673257747
ADAT2	0.64465286646996	0.591809131949476	0.378954452674408
ADAT3	0.573363338790683	0.49153835325632	0.356349671408216
ADCK1	0.629208687659161	0.669563454912966	0.390414466090157
ADCK2	0.705650189933735	0.733573349809231	0.301612997137639
ADCK5	0.778960682266727	0.794259825173039	0.223727622944372
ADCY1	0.566006710378924	0.700386738274531	0.590107860218102
ADCY10	0.6492725304076	0.636045520791267	0.340730890669137
ADCY2	0.626359128911707	0.710491314402188	0.520692679938189
ADCY3	0.700288817487201	0.754954006459879	0.305616254496241
ADCY4	0.764555298069905	0.813380655154252	0.263506737288733
ADCY5	0.527329963687576	0.727859993411046	0.589792122522675
ADCY6	0.702046510871271	0.748737636468635	0.33725170618148
ADCY7	0.781908054917725	0.767671467031312	0.281423055312755
ADCY8	0.755191637244221	0.791829273895124	0.317086383186007
ADCY9	0.51674967666242	0.662007613574234	0.581319420124712
ADCYAP1	0.750267196504507	0.636390399775423	0.429385434274023
ADCYAP1R1	0.855810024053638	0.838815670887256	0.177271541599745
ADD1	0.463031120823204	0.499141399383482	0.67731814512176
